"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",0,71.66,-10.57,89.1,18.64,17.69,0.17,-0.71,0.43,0.43,0.39,0.41,0,0,-39.12,88.89,17.34,16.97,-0.47,-1.49,0.42,0.42,0.37,0.41,0,263.22,-1.21,89.36,21.44,18.29,0.68,-0.06,0.44,0.44,0.41,0.41,44.15,2.07,2.71
"1981-01-02",0,166.53,-28.66,89.39,18.95,17.25,-0.23,-1.52,0.42,0.43,0.42,0.41,0,0,-60.49,89.2,16.97,16.29,-0.6,-2.82,0.41,0.42,0.41,0.41,0,592.54,-7.84,89.6,22.93,18.69,0.55,-0.68,0.44,0.44,0.42,0.41,19.07,4.74,3.45
"1981-01-03",0,176.58,-47.21,89.52,19.47,16,0.45,-1.37,0.39,0.41,0.42,0.41,0,0,-72.3,89.41,16.16,15.42,-0.33,-2.82,0.38,0.4,0.42,0.41,0,540.75,-19.24,89.68,23.89,16.51,1.31,0.21,0.41,0.42,0.42,0.41,0.06,5.65,2.92
"1981-01-04",0,291.58,-69.71,89.58,21.6,16.46,0,-0.85,0.37,0.39,0.42,0.41,0,0,-111.87,89.39,16.4,15.25,-1.12,-2.24,0.36,0.38,0.42,0.41,0,865.78,-34.41,89.73,26.37,18.14,0.67,0.16,0.38,0.4,0.42,0.41,0.27,8.63,2.86
"1981-01-05",0,284.52,-71.66,89.54,22.73,16.26,-1.08,-0.4,0.35,0.37,0.41,0.41,0,0,-108.72,89.4,18.85,14.58,-1.84,-1.51,0.33,0.37,0.41,0.41,0,858.96,-35.14,89.66,27.32,17.91,-0.14,0.24,0.36,0.38,0.42,0.41,0.11,9.08,2.12
"1981-01-06",0,279.6,-72.47,89.53,21.3,15.15,-1.63,-0.48,0.33,0.36,0.41,0.41,0,0,-106.8,89.4,17.14,14.04,-2.79,-1.37,0.31,0.35,0.41,0.41,0,849.21,-40.08,89.7,25.58,16.32,-0.36,0.33,0.34,0.37,0.41,0.41,0.03,9.15,1.71
"1981-01-07",0,245.87,-63.24,89.42,21.38,14.92,-0.35,-0.92,0.31,0.35,0.4,0.41,0,0,-94.24,89.24,16.85,13.51,-1.24,-1.96,0.3,0.34,0.4,0.41,0,776.9,-40.25,89.58,25.67,16.89,0.79,0.1,0.32,0.35,0.41,0.41,0.03,7.78,1.58
"1981-01-08",0,224.4,-58.31,89.28,21.37,16.29,0.2,-0.24,0.31,0.34,0.4,0.41,0,0,-89.89,89.13,18.29,14.06,-0.82,-1.56,0.29,0.33,0.4,0.41,0,779.85,-26.81,89.42,26.2,17.96,1.29,0.85,0.32,0.34,0.4,0.41,2.56,6.82,1.58
"1981-01-09",0,161.15,-38.04,89.32,20.15,17.84,-0.48,-0.27,0.37,0.35,0.39,0.41,0,0,-52.81,89.13,17.52,17.24,-1.5,-1.6,0.32,0.33,0.39,0.41,0,543.79,-14.51,89.43,23.82,18.94,0.1,0.6,0.43,0.38,0.4,0.41,21.09,4.42,1.67
"1981-01-10",0,118.22,-23.18,89.33,19.04,17.91,-1.02,-0.74,0.41,0.4,0.39,0.41,0,0,-42.68,89.2,17.27,17.04,-1.71,-2.19,0.39,0.38,0.39,0.41,0,390.23,-3.47,89.5,22.26,19.58,-0.55,0.01,0.43,0.43,0.39,0.41,16.77,3.23,3.96
