"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",4.55,40.67,-77.28,90.55,-2.66,-6.64,0.31,2.11,0.34,0.32,0.2,0.19,4.51,0,-104.73,89.94,-5.39,-10.11,-0.54,-1.36,0.34,0.32,0.19,0.19,4.58,199.91,-62.78,91.13,3.42,-5.39,2.34,3.14,0.34,0.32,0.2,0.19,0,1.32,NA
"1981-01-02",4.5,41.35,-81.4,90.23,-3.38,-13.8,-0.09,-0.29,0.33,0.32,0.2,0.19,4.47,0,-107.32,89.97,-6.14,-15.9,-1.92,-2.97,0.33,0.32,0.2,0.19,4.52,203.23,-67.43,90.54,1.12,-12.44,1.99,1.8,0.33,0.32,0.2,0.19,0,3.16,NA
"1981-01-03",4.44,43.2,-77.04,89.95,-3.75,-13.86,1.37,-0.05,0.33,0.32,0.2,0.19,4.4,0,-118.62,89.78,-7.45,-16.75,-1.12,-0.87,0.33,0.32,0.2,0.19,4.48,210.79,-59.14,90.1,5.02,-11.27,2.08,1.47,0.33,0.32,0.2,0.19,0,1.13,NA
"1981-01-04",4.35,42.59,-71.42,90.1,-3.09,-12.63,1.91,-0.28,0.33,0.31,0.2,0.19,4.29,0,-106.66,89.99,-7.9,-15.88,1.42,-1.18,0.33,0.31,0.2,0.19,4.41,206.76,-52.5,90.19,4.57,-10.34,2.71,0.5,0.33,0.32,0.2,0.19,0,2.08,NA
"1981-01-05",4.25,42.73,-65.57,90.44,-1.41,-8.82,1.63,-0.63,0.33,0.31,0.2,0.19,4.2,0,-106.98,90.14,-4.48,-11.31,0.34,-1.85,0.33,0.31,0.2,0.19,4.29,208.85,-20.56,90.65,3.64,-7.13,2.27,0.37,0.33,0.31,0.2,0.19,0.04,1.86,NA
"1981-01-06",4.19,26.16,-50.21,89.82,-2.25,-7.92,-0.04,1.17,0.33,0.31,0.2,0.19,4.15,0,-74.69,89.04,-5.28,-9.04,-1.57,-2.66,0.32,0.31,0.2,0.19,4.21,160.59,-23.92,90.63,1.75,-5.28,2.81,2.89,0.33,0.31,0.2,0.19,0.2,1.64,NA
"1981-01-07",4.15,39.45,-73.16,89.84,-1.65,-8.1,1.1,0.7,0.32,0.31,0.2,0.19,4.1,0,-95.78,89.54,-4.58,-9.5,-1.13,-0.62,0.32,0.31,0.2,0.19,4.19,198.13,-48.9,90.09,3.02,-6.95,3.71,2.52,0.32,0.31,0.2,0.19,0,2.08,NA
"1981-01-08",4.09,44.31,-58.32,89.95,-2.63,-7.49,-0.05,-1.07,0.32,0.31,0.2,0.19,4.06,0,-102.17,89.56,-5.27,-9.9,-1.5,-2.12,0.32,0.31,0.2,0.19,4.11,211.43,-22.1,90.4,1.54,-5.95,1.04,0.58,0.32,0.31,0.2,0.19,0,1.35,NA
"1981-01-09",4.07,26.79,-45.94,90.17,-2.52,-6.08,0.14,0.67,0.32,0.3,0.2,0.19,4.05,0,-71.15,90.01,-5.03,-7.21,-2.04,-0.58,0.32,0.3,0.2,0.19,4.1,137.68,-23.57,90.47,1.05,-5.38,2.82,1.59,0.32,0.31,0.2,0.19,0.12,1.09,NA
"1981-01-10",4.07,46.48,-83.96,90.74,-3.16,-8.82,0.98,0.99,0.32,0.3,0.2,0.19,4.02,0,-113.95,90.47,-6.18,-9.53,-1.05,-0.67,0.32,0.3,0.2,0.19,4.11,225.33,-67.2,90.93,2.5,-8.05,2.81,2.41,0.32,0.3,0.2,0.19,0,1.81,NA
"1981-01-11",3.9,44.47,-64.59,90.57,-2.21,-9.54,1.33,0.63,0.32,0.3,0.2,0.19,3.74,0,-96.91,90.27,-6.19,-11.42,-0.14,-0.51,0.32,0.3,0.2,0.19,4.03,225.41,-47.71,90.73,5.54,-7.59,2.23,2.34,0.32,0.3,0.2,0.19,0,2.02,NA
"1981-01-12",3.56,43.55,-63.43,90.17,-0.74,-9.89,1.93,-0.52,0.32,0.3,0.2,0.19,3.34,0,-98.85,89.91,-4.62,-12.33,1.07,-2.38,0.32,0.3,0.2,0.19,3.74,210.28,-23.41,90.54,7.39,-7.92,2.41,0.49,0.32,0.3,0.2,0.19,0,2.45,NA
"1981-01-13",3.22,46.33,-61.31,90.58,-1.53,-9.43,1.09,0.19,0.32,0.3,0.21,0.19,3.06,0,-97.13,90.52,-5.01,-10.39,0.16,-0.94,0.32,0.3,0.2,0.19,3.35,224.65,-46.14,90.65,5.53,-7.8,1.85,0.86,0.32,0.3,0.21,0.19,0,1.61,NA
"1981-01-14",2.95,46.46,-65.84,90.62,-1.79,-7.24,0.8,-0.36,0.32,0.3,0.21,0.19,2.8,0,-102.95,90.52,-5.07,-8.2,-1.4,-2.36,0.32,0.3,0.21,0.19,3.07,223.75,-46.42,90.74,5.14,-6.07,1.93,1.38,0.32,0.3,0.21,0.19,0,1.61,NA
"1981-01-15",2.81,37.03,-61.78,90.77,-5.51,-7.25,-0.84,0.93,0.32,0.3,0.21,0.19,2.79,0,-97.78,90.65,-7.39,-8.54,-1.62,-1.88,0.32,0.3,0.21,0.19,2.82,171.3,-23.57,90.96,-2.19,-5.66,1.1,3.39,0.32,0.3,0.21,0.19,0.01,0.61,NA
"1981-01-16",2.81,54.09,-97.66,90.39,-4.36,-8.63,-0.84,3.45,0.32,0.3,0.21,0.19,2.78,0,-121.43,90.24,-6.86,-11.05,-1.34,2.89,0.32,0.3,0.21,0.19,2.84,249.6,-66.79,90.68,0.56,-6.49,-0.34,4.12,0.32,0.3,0.21,0.19,0,2.3,NA
