"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.68,28.78,-48.94,95.31,-13.7,-16.25,1.16,-1.12,0.43,0.43,0.41,0.41,42.59,0,-82.11,94.96,-18.49,-21.02,-1.79,-3.02,0.43,0.43,0.41,0.41,42.75,147.43,-17.93,95.54,-9.18,-10.6,3.17,1.48,0.43,0.43,0.41,0.41,0.22,0.57,0.02
"1981-01-02",43.38,30.45,-40.77,95.11,-21.86,-25.09,-1.9,-0.64,0.43,0.43,0.41,0.41,42.69,0,-82.07,94.52,-29.89,-33.03,-3.1,-1.79,0.43,0.43,0.41,0.41,43.59,153.34,8.54,95.67,-16.86,-19.67,-0.51,1.49,0.43,0.43,0.41,0.41,0.97,0.39,0.02
"1981-01-03",43.89,13.52,-13.15,95.4,-24.34,-28.62,-1.19,0.87,0.43,0.43,0.41,0.41,43.54,0,-51.54,95.16,-30.75,-34.14,-2.18,0.01,0.43,0.43,0.41,0.41,44.55,73.68,23.42,95.62,-18.84,-23.22,0.03,1.45,0.43,0.43,0.41,0.41,1.09,0.51,0.02
"1981-01-04",44.5,25.57,-34.36,94.91,-17.65,-21.34,-0.1,2.6,0.43,0.43,0.41,0.41,44.45,0,-55.07,93.94,-22.59,-26.03,-2.24,1.37,0.43,0.42,0.41,0.41,44.54,124,-1.79,95.45,-10.21,-13.52,2.47,3.58,0.43,0.43,0.41,0.41,0.02,0.89,0.02
"1981-01-05",44.6,18.37,-26.54,93.93,-6.97,-8.53,1.94,-1.41,0.43,0.42,0.41,0.41,44.48,0,-45.49,93.77,-9.42,-12.34,0.85,-2.77,0.43,0.42,0.41,0.41,44.83,93.29,7.9,94.25,-3.73,-5.48,2.79,0.69,0.43,0.42,0.41,0.41,0.41,0.45,0.02
"1981-01-06",44.96,33.43,-70.51,94.93,-18.62,-21.44,0.19,-1.61,0.43,0.42,0.41,0.41,44.86,0,-90.42,94.3,-25.66,-28.33,-1.93,-3.53,0.42,0.42,0.41,0.41,45,164.66,-31.89,95.26,-8.77,-10.29,1.55,1.54,0.43,0.42,0.41,0.41,0.22,0.26,0.02
"1981-01-07",45.16,18.3,-21.46,94.41,-20.16,-23.55,-0.33,1.31,0.42,0.42,0.41,0.41,44.95,0,-51.88,94.31,-25.94,-28.62,-1.56,0.87,0.42,0.42,0.41,0.41,45.33,92.48,5.92,94.73,-16.19,-19.79,1.93,1.59,0.42,0.42,0.41,0.41,0.45,0.37,0.01
"1981-01-08",45.46,29.82,-48.38,94.66,-17.34,-19.93,0.78,-1.42,0.42,0.42,0.41,0.41,45.34,0,-83.31,94.28,-23.79,-26.57,-0.83,-2.41,0.42,0.42,0.41,0.41,45.51,152.65,-15.41,95.42,-13.64,-17.49,2.19,0.77,0.42,0.42,0.41,0.41,0.22,0.3,0.01
"1981-01-09",45.48,35.05,-65.11,95.79,-25.14,-28.45,0.26,-0.09,0.42,0.42,0.41,0.41,45.46,0,-86.17,95.49,-29.07,-31.94,-0.71,-1.89,0.42,0.42,0.41,0.41,45.49,172.46,-35.17,95.95,-19.74,-24.76,0.84,1.91,0.42,0.42,0.41,0.41,0,0.25,0.01
"1981-01-10",45.45,36.3,-54.07,95.81,-21.4,-25.58,-0.28,1.28,0.42,0.42,0.41,0.41,45.42,0,-88.89,95.54,-25.71,-29.19,-1.44,0.46,0.42,0.42,0.41,0.41,45.46,174.74,-23.38,96.09,-15.54,-20.86,0.69,2.09,0.42,0.42,0.41,0.41,0.01,0.55,0.01
"1981-01-11",45.49,30.2,-37.18,95.44,-10.61,-12.73,1.86,0.86,0.42,0.42,0.41,0.41,45.42,0,-83.4,94.72,-18.82,-21.09,0.65,0.19,0.42,0.42,0.41,0.41,45.53,151.95,10.33,96.02,-5.14,-7.9,2.72,1.88,0.42,0.42,0.41,0.41,0.1,0.62,0.01
"1981-01-12",45.46,35.1,-54.91,94.29,-6.7,-9.24,1.92,-0.69,0.42,0.42,0.41,0.41,45.4,0,-80.15,94.06,-9.75,-11.69,1.36,-1.1,0.42,0.42,0.41,0.41,45.49,169.07,-14.47,94.64,-2.47,-6.17,2.88,0.05,0.42,0.42,0.41,0.41,0.02,1.1,0.01
"1981-01-13",45.39,36.04,-48.95,94.34,-5.64,-7.6,2.14,-1.59,0.42,0.42,0.41,0.41,45.35,0,-88.42,94.08,-9.52,-11.13,1.15,-2.74,0.42,0.42,0.41,0.41,45.43,171.47,-10.6,94.63,-2.39,-5.08,3.16,-0.65,0.42,0.42,0.41,0.41,0.09,0.88,0.01
"1981-01-14",45.84,19.22,-25.44,94.95,-6.76,-8.37,-0.07,-1.64,0.42,0.42,0.41,0.41,45.46,0,-57.21,94.65,-13.53,-15.27,-1.59,-2.41,0.42,0.42,0.41,0.41,46,88.06,-9.58,95.35,-4.31,-5.45,1.73,-1.18,0.42,0.42,0.41,0.41,0.72,0.67,0.01
"1981-01-15",46.05,35.25,-60.09,95.84,-15.26,-17.5,-0.3,-1.01,0.42,0.42,0.41,0.41,46,0,-87.87,95.39,-18.08,-20.12,-1.6,-1.71,0.42,0.42,0.41,0.41,46.08,173.27,-35.61,96.15,-10.97,-14.34,1.35,0.51,0.42,0.42,0.41,0.41,0.09,0.23,0.01
"1981-01-16",46.02,29.58,-43.28,95.56,-12.87,-15.86,2.78,0.91,0.42,0.42,0.41,0.41,45.95,0,-74.56,95.16,-19.87,-21.67,1.63,0.25,0.42,0.42,0.41,0.41,46.05,150.17,-4.95,96.03,-6.62,-10.36,3.79,1.37,0.42,0.42,0.41,0.41,0,1.68,0.01
