"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",62.07,26.46,-21.62,97.55,-16.52,-20.74,-0.48,0.04,0.29,0.3,0.3,0.34,61.51,0,-60.73,97.03,-21.39,-25.28,-1.7,-1.51,0.29,0.29,0.3,0.34,64.14,135.27,-2.89,98.1,-12,-14.34,0.91,1.07,0.29,0.3,0.3,0.34,2.69,1.58,0.18
"1981-01-02",64.53,47.05,-63.3,97.77,-23.46,-28.36,1.43,-2.81,0.29,0.29,0.3,0.34,64.26,0,-93.61,97.03,-31.89,-35.97,0.62,-3.95,0.29,0.29,0.3,0.34,64.61,216.06,-9.95,98.25,-12.09,-14.54,1.98,-1.17,0.29,0.29,0.3,0.34,0.59,1.8,0.18
"1981-01-03",64.51,39.83,-59.2,98.13,-34.2,-38.53,0.71,-1.68,0.29,0.29,0.3,0.34,64.49,0,-80.71,97.95,-38.21,-41.35,-0.08,-2.16,0.29,0.29,0.3,0.34,64.53,179.33,-28.66,98.43,-30.27,-36.4,1.24,-1.07,0.29,0.29,0.3,0.34,0.06,0.33,0.18
"1981-01-04",64.71,36.93,-31.34,98.62,-27.86,-32.34,1.68,-1.57,0.29,0.29,0.3,0.34,64.53,0,-73.16,98.29,-36.31,-40.08,1.42,-2.77,0.29,0.29,0.3,0.34,64.81,189.61,1.46,99.02,-21.68,-26.22,2.15,-0.81,0.29,0.29,0.3,0.34,0.31,0.65,0.17
"1981-01-05",64.97,42.33,-33.17,98.65,-20.48,-23.93,1.01,0.59,0.29,0.29,0.3,0.34,64.8,0,-62.22,97.75,-25.03,-28.11,0.07,-1.21,0.29,0.29,0.3,0.34,66.25,214.71,-0.03,99.06,-14.38,-16.31,1.66,2.41,0.29,0.29,0.3,0.34,1.48,0.92,0.17
"1981-01-06",68.32,16.86,-9.2,96.82,-8.78,-10.67,1.26,1.58,0.29,0.29,0.3,0.34,66.64,0,-18.81,96.09,-12.94,-14.84,0.24,-2.71,0.29,0.29,0.3,0.34,71.09,84.88,-0.71,97.63,-6.34,-7.85,2.1,3.09,0.29,0.29,0.3,0.34,4.85,0.95,0.16
"1981-01-07",71.86,40.99,-49.8,96.93,-19.3,-24.02,1.83,-3.25,0.29,0.29,0.3,0.34,71.3,0,-80.88,96.12,-23.5,-27,1.22,-4.28,0.29,0.29,0.3,0.34,71.99,193.52,-23.63,97.74,-9.78,-12.66,2.22,-2.14,0.29,0.29,0.3,0.34,1.18,2.89,0.16
"1981-01-08",71.9,51.61,-70.69,98.05,-21.91,-25.57,1.71,-0.53,0.29,0.29,0.3,0.33,71.89,0,-88.95,97.75,-25.77,-28.81,1.51,-2.07,0.29,0.29,0.3,0.33,71.92,235.09,-49.95,98.23,-17.06,-22.14,2.07,1.14,0.29,0.29,0.3,0.34,0.01,0.68,0.16
"1981-01-09",72.29,37.45,-44.76,97.94,-17.79,-21.14,1.1,-0.36,0.29,0.29,0.29,0.33,71.89,0,-83.25,97.67,-21.16,-23.72,0.7,-2.7,0.29,0.29,0.29,0.33,72.59,180.72,-19.53,98.42,-12.63,-18.49,1.87,1.27,0.29,0.29,0.3,0.33,0.76,1.28,0.16
"1981-01-10",72.55,52.56,-73.93,98.95,-25.43,-29.84,0.85,-1.99,0.29,0.29,0.29,0.33,72.5,0,-85.95,98.43,-28.89,-32.61,0.14,-2.64,0.29,0.29,0.29,0.33,72.57,238.34,-59.84,99.21,-21.28,-24.26,1.25,-1.28,0.29,0.29,0.29,0.33,0.05,0.8,0.16
"1981-01-11",72.49,52.94,-68.72,98.73,-28.78,-32.92,1.09,-1.77,0.29,0.29,0.29,0.33,72.47,0,-82.1,98.49,-31.77,-35.16,0.09,-2.46,0.28,0.29,0.29,0.33,72.5,239.54,-30.53,99.13,-25.07,-30.2,1.71,-0.5,0.29,0.29,0.29,0.33,0.01,0.45,0.16
"1981-01-12",72.47,54.19,-57.88,98.26,-25.73,-29.32,0.71,1.08,0.28,0.29,0.29,0.33,72.47,0,-76.21,98.08,-31.99,-34.97,-0.83,-0.14,0.28,0.29,0.29,0.33,72.48,243.76,-20.34,98.56,-19.34,-23.53,1.9,2.12,0.28,0.29,0.29,0.33,0.01,0.54,0.16
"1981-01-13",72.87,35.6,-17.72,97.84,-16.55,-19.21,-1.03,0.85,0.28,0.29,0.29,0.33,72.48,0,-39.51,97.69,-22.52,-25.15,-1.54,0.4,0.28,0.29,0.29,0.33,73.38,182.27,10.33,98.09,-12.55,-15.55,-0.24,1.42,0.28,0.29,0.29,0.33,0.91,0.57,0.14
"1981-01-14",73.58,30.56,-28.7,97.78,-13.86,-16.18,-0.43,0.56,0.28,0.29,0.29,0.33,73.41,0,-61.35,97.61,-17.56,-19.47,-0.92,-0.72,0.28,0.29,0.29,0.33,73.72,137.38,-2.56,98.09,-9.56,-13.27,0.17,1.41,0.28,0.29,0.29,0.33,0.37,0.89,0.14
"1981-01-15",73.75,33.9,-35.8,98.34,-13.23,-15.92,-1.52,-0.53,0.28,0.29,0.29,0.33,73.72,0,-68.54,98.06,-17.23,-18.89,-2.2,-1.45,0.28,0.29,0.29,0.33,73.86,161.73,-9.8,98.6,-9.04,-13.44,-0.72,0.49,0.28,0.29,0.29,0.33,0.2,1.39,0.14
"1981-01-16",74.2,42.18,-47.15,98.65,-14.09,-17.51,-0.64,-2.21,0.28,0.29,0.29,0.33,73.9,0,-82.6,98.53,-19.18,-21.73,-1.54,-2.9,0.28,0.29,0.29,0.33,74.32,207.14,-24.18,98.83,-12.23,-14.78,0.41,-1.39,0.28,0.29,0.29,0.33,0.56,2.13,0.14
"1981-01-17",74.2,55.75,-52.4,98.34,-18.01,-21.12,1.27,0.67,0.28,0.29,0.29,0.33,74.18,0,-78.77,97.7,-22.82,-25.24,0.64,-1.81,0.28,0.29,0.29,0.33,74.23,252.07,-5.68,98.8,-13.19,-17.1,1.93,2.32,0.28,0.29,0.29,0.33,0.08,1.18,0.15
"1981-01-18",74.34,31.11,-18.61,97.47,-7.02,-9.41,1.73,-0.61,0.28,0.28,0.29,0.33,74.25,0,-44.35,97.32,-14.9,-16.84,1.35,-1.68,0.28,0.28,0.29,0.33,74.43,142.6,9.46,97.64,-0.27,-3.31,2.58,1.24,0.28,0.29,0.29,0.33,0.21,1.75,0.15
"1981-01-19",74.38,51.86,-51.67,97.32,-3.33,-5.49,0.98,-0.99,0.28,0.28,0.29,0.33,74.25,0,-97.24,97.08,-5.75,-7.5,-0.83,-2.77,0.28,0.28,0.29,0.33,74.44,226.27,-20.98,97.68,0.64,-3.73,1.68,0.17,0.28,0.28,0.29,0.33,0.05,2.94,0.15
